store,price,friendly name,city,state,zip,address,Unnamed: 6
1625,239.0,N.E. San Antonio,San Antonio,TX,78233,11718 I.H. 35 North,
1624,239.0,Garden City,Garden City,NY,11530,700 Dibblee Dr,
1623,239.0,S. Kansas City,Kansas City,MO,64145,1700 West 133rd St,
1622,239.0,Danville,Danville,KY,40422,51 May Blvd,
1621,239.0,Mentor,Mentor,OH,44060,9600 Mentor Ave,
1620,239.0,Sunrise,Las Vegas,NV,89104,2875 E. Charleston Blvd,
1619,239.0,White Settlement,Fort Worth,TX,76114,600 State Highway 183,
1618,239.0,Weymouth,Weymouth,MA,2191,729 Bridge St,
1617,239.0,Waycross,Waycross,GA,31501,2308 Memorial Dr,
1616,239.0,Vista,Vista,CA,92083,151 Vista Village Dr,
1626,239.0,Smyrna,Smyrna,TN,37167,410 Genie Ln,
1615,239.0,Warsaw,Warsaw,IN,46582,2495 Jalynn St,
1613,239.0,W. Jordan,West Jordan,UT,84084,7456 South Plaza Center Dr,
1612,239.0,Niskayuna,Schenectady,NY,12304,422 Balltown Rd,
1611,239.0,Visalia,Visalia,CA,93277,4144 South Mooney Blvd,
1610,239.0,Vincennes,Vincennes,IN,47591,2700 North 6th St,
1609,239.0,Traverse City,Traverse City,MI,49684,3150 North U.S. 31 South,
1608,239.0,Toms River,Toms River,NJ,8753,1375 Hooper Ave,
1607,239.0,Surprise,Surprise,AZ,85374,13363 W. Grand Ave,
1606,239.0,Streetsboro,Streetsboro,OH,44241,1210 State Route 303,
1605,239.0,Spring Hill,Spring Hill,FL,34606,4780 Commercial Way,
